NCEP_ID,IGRA_ID,LAT,LON,ELEV,IGRA_LAT,IGRA_LON
43418,CEM00043418,8.58,81.25,3,8.5833,81.25
43421,CEM00043421,8.33,80.42,89,8.3333,80.4167
43424,CEM00043424,8.03,79.83,2,8.0333,79.8333
43466,CEM00043466,6.9,79.87,6,6.9,79.8667
43497,CEM00043497,6.12,81.13,18,6.1167,81.1333
43540,INM00042027,34.08,74.83,1585,34.0833,74.8333
44231,MGM00044231,49.63,100.17,1288,49.6333,100.1667
44239,MGM00044239,48.8,103.55,1210,48.8,103.55
44241,MGM00044241,48.92,106.07,807,48.917,106.067
44272,MGM00044272,47.75,96.85,1753,47.75,96.85
44277,MGM00044277,46.4,96.25,2147,46.4,96.25
44282,MGM00044282,47.45,101.47,1712,47.45,101.467
44288,MGM00044288,46.27,102.78,1832,46.2667,102.7833
44341,MGM00044341,45.77,106.28,1398,45.767,106.283
44354,MGM00044354,44.9,110.12,936,44.9,110.117
44373,MGM00044373,43.58,104.42,1470,43.5833,104.4167
44385,MGM00044385,43.2,107.17,914,43.2,107.167
44454,NPM00044454,27.7,85.37,1337,27.7,85.367
45004,HKM00045004,22.32,114.17,65,22.3272,114.1686
46692,TWM00058968,25.03,121.52,8,25.0333,121.5167
46736,TWM00046736,24.43,118.43,12,24.433,118.433
46746,TWM00046746,23.47,120.38,25,23.467,120.383
46747,TWM00046747,22.47,120.43,8,22.467,120.433
46750,TWM00046750,22.67,120.45,24,22.6667,120.45
46751,TWM00046751,24.18,120.65,111,24.183,120.65
46811,TWM00046810,20.72,116.72,3,20.7167,116.7167
46902,TWM00046902,10.72,115.83,5,10.717,115.833
47107,KSM00047107,37.75,128.95,6,37.75,128.95
47111,KSM00047111,37.43,127.12,20,37.433,127.117
47118,KSM00047118,37.43,127.95,101,37.433,127.95
47128,KSM00047128,36.7,127.5,58,36.7,127.5
47131,KSM00047131,36.63,127.43,59,36.633,127.433
47138,KSM00047138,36.03,129.37,6,36.0319,129.38
47142,KSM00047142,35.9,128.65,37,35.9,128.65
47161,KSM00047161,35.08,128.08,8,35.083,128.083
47169,KSM00047169,34.68,125.45,77,34.6872,125.4511
47401,JAM00047401,45.42,141.68,3,45.415,141.6789
47420,JAM00047420,43.33,145.58,26,43.3333,145.5833
47582,JAM00047582,39.72,140.1,9,39.7175,140.0992
47590,JAM00047590,38.27,140.9,38,38.267,140.9
47604,JAM00047604,37.92,139.05,2,37.917,139.05
47624,JAM00047624,36.4,139.07,112,36.4,139.067
47646,JAM00047646,36.05,140.13,31,36.0581,140.1258
47655,JAM00047655,34.6,138.22,45,34.6,138.217
47684,JAM00047684,34.93,136.58,47,34.933,136.583
47688,JAM00047688,34.98,139.83,2,34.983,139.833
47738,JAM00047678,33.12,139.78,91,33.1217,139.7792
47741,JAM00047741,35.45,133.07,17,35.4572,133.0656
47744,JAM00047744,35.43,133.35,7,35.4333,133.35
47764,JAM00047764,34.15,132.23,3,34.15,132.22
47772,JAM00047772,34.68,135.52,23,34.683,135.517
47787,JAM00047787,34.05,131.05,4,34.05,131.05
47807,JAM00047807,33.58,130.38,3,33.5822,130.3764
47810,JAM00047810,33.15,130.3,5,33.15,130.3
47855,JAM00047855,32.92,129.92,6,32.917,129.917
47881,JAM00047881,34.13,134.6,2,34.133,134.6
47884,JAM00047884,34.0,134.63,3,34.0,134.633
47898,JAM00047898,32.72,133.02,30,32.717,133.017
47918,JAM00047918,24.33,124.17,6,24.3367,124.1644
47931,JAM00047931,26.35,127.75,43,26.35,127.75
47938,JAM00047938,26.72,127.78,70,26.717,127.783
47945,JAM00047945,25.83,131.23,15,25.8289,131.2286
47981,JAM00047981,24.78,141.33,106,24.783,141.333
48042,BMM00048042,21.98,96.1,74,21.983,96.1
48060,BMM00048060,21.3,99.62,827,21.3,99.617
48062,BMM00048062,20.13,92.88,9,20.133,92.883
48080,BMM00048080,18.47,94.35,9,18.467,94.35
48094,BMM00048094,16.77,94.77,9,16.767,94.767
48096,BMM00048096,16.9,96.18,28,16.9,96.183
48097,BMM00048097,16.77,96.17,15,16.7667,96.1667
48108,BMM00048108,14.1,98.22,26,14.1,98.2167
48109,BMM00048109,14.12,93.37,2,14.117,93.367
48110,BMM00048110,12.43,98.6,36,12.433,98.6
48354,THM00048354,17.37,102.8,178,17.3769,102.8094
48407,THM00048407,15.25,104.87,123,15.25,104.8667
48431,THM00048431,14.97,102.08,187,14.9681,102.0858
48601,MYM00048601,5.3,100.27,3,5.3,100.2667
48602,MYM00048602,5.47,100.38,1,5.467,100.383
48615,MYM00048615,6.17,102.28,4,6.1667,102.2833
48620,MYM00048620,4.22,100.7,8,4.2167,100.7
48648,MYM00048648,3.1,101.65,57,3.1,101.65
48650,MYM00048650,2.72,101.7,17,2.7167,101.7
48657,MYM00048657,3.78,103.22,18,3.7833,103.2167
48698,SNM00048698,1.37,103.98,3,1.3667,103.9833
48839,VMM00048839,20.13,107.72,60,20.1333,107.7167
48887,VMM00048887,10.93,108.1,10,10.9333,108.1
48900,VMM00048900,10.82,106.67,9,10.8167,106.6667
50353,CHM00050353,51.72,126.65,170,51.717,126.65
50603,CHM00050603,48.67,116.82,556,48.667,116.817
50745,CHM00050745,47.38,123.92,147,47.383,123.917
51076,CHM00051076,47.73,88.08,735,47.7333,88.0833
51133,CHM00051133,46.73,83.0,540,46.733,83.0
51243,CHM00051243,45.6,84.85,426,45.6,84.85
51288,CHM00051288,45.37,90.53,1651,45.367,90.533
51334,CHM00051334,44.62,82.9,321,44.617,82.9
51379,CHM00051379,44.02,89.57,797,44.017,89.567
51431,CHM00051431,43.95,81.33,670,43.95,81.3333
