NCEP_ID IGRA_ID LAT LON ELEV
59553 TWM00046747  22.4700 120.4300     8
59644 CHM00059644  21.4800 109.1000    17
59658 CHM00059658  21.2200 110.4000    29
59838 CHM00059838  19.1000 108.6200     8
59981 PFM00059981  16.8300 112.3300     6
59997 TWM00046902  10.7200 115.8300     5
60020 SPM00060020  28.4700 -16.2500    36
60107 MOM00060107  35.1800  -3.8500    27
60115 MOM00060115  34.7800  -1.9500   468
60127 MOM00060127  34.2200  -4.0000   509
60150 MOM00060150  33.8800  -5.5300   576
60155 MOM00060155  33.5700  -7.6700    61
60185 MOM00060185  32.2800  -9.2300    46
60195 MOM00060195  32.6800  -4.7300  1515
60210 MOM00060210  31.9300  -4.4000  1042
60230 MOM00060230  31.6200  -8.0300   468
60250 MOM00060250  30.3800  -9.5700    25
60265 MOM00060265  30.9300  -6.9000  1140
60525 AGM00060525  34.8000   5.7300    88
60535 AGM00060535  34.6800   3.2500  1144
60559 AGM00060559  33.5000   6.7800    62
60566 AGM00060566  32.3800   3.8200   452
60590 AGM00060590  30.5700   2.8700   400
60602 AGM00060602  30.1300  -2.1700   498
60607 AGM00060607  29.2500   0.2800   312
60611 AGM00060611  28.0500   9.6300   563
60620 AGM00060620  27.8800  -0.2800   262
60686 AGM00060686  21.3300   0.9500   398
60714 TSM00060714  37.2300   9.8200     3
60715 TSM00060715  36.8300  10.2300     5
60725 TSM00060725  36.4800   8.8000   144
60735 TSM00060735  35.6700  10.1000    68
60738 TSM00060738  35.5500   8.6800  1092
60745 TSM00060745  34.4200   8.8200   315
60750 TSM00060750  34.7200  10.6800    24
60760 TSM00060760  33.9200   8.1700    51
60775 TSM00060775  32.3200  10.4000   301
61017 NGM00061017  18.6800  12.9200   335
61024 NGM00061024  16.9700   7.9800   505
61052 NGM00061052  13.4800   2.1700   223
61075 NGM00061075  13.8000   5.2500   272
61080 NGM00061080  13.4700   7.0800   368
61090 NGM00061090  13.7800   8.9800   459
61202 MLM00061202  20.2000   0.9800   494
61214 MLM00061214  18.4300   1.3500   458
61226 MLM00061226  16.2700  -0.0500   265
61233 MLM00061233  15.1700  -7.2800   265
61265 MLM00061265  14.5200  -4.1000   276
61291 MLM00061291  12.5300  -7.9500   380
61401 MRM00061401  25.2300 -11.6200   364
61403 MRM00061403  22.6800 -12.7000   299
61404 MRM00061404  22.7500 -12.4800   343
61415 MRM00061415  20.9300 -17.0300     5
61421 MRM00061421  20.5200 -13.0700   226
